result,head-shape,head-surface,head-color,lesions,odor,gill-attachment,gill-spacing,gill-size,gill-color,body-shape,body-surface-above-neck,body-surface-below-neck,body-color-above-neck,body-color-below-neck,foot-type,foot-color,number-heads,eye-type,tattoo-print-color,population,habitat
friendly,x,s,w,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,n,a,g
friendly,x,f,n,t,n,f,c,b,n,t,s,s,p,p,p,w,o,p,n,y,d
friendly,x,s,n,f,n,f,w,b,h,t,f,s,w,w,p,w,o,e,n,s,g
dangerous,f,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,s,u
friendly,x,f,n,t,n,f,c,b,p,t,s,s,w,g,p,w,o,p,n,v,d
friendly,x,s,w,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,k,s,g
friendly,f,s,w,f,n,f,w,b,k,t,f,s,w,w,p,w,o,e,k,s,g
friendly,x,s,w,t,a,f,w,n,n,t,s,s,w,w,p,w,o,p,u,v,d
friendly,x,f,n,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,n,s,g
friendly,x,y,g,t,n,f,c,b,p,t,s,s,g,w,p,w,o,p,k,v,d
friendly,x,f,n,t,n,f,c,b,n,t,s,s,g,g,p,w,o,p,n,y,d
friendly,x,s,y,t,a,f,w,n,p,t,s,s,w,w,p,w,o,p,u,v,d
friendly,f,f,g,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,k,a,g
friendly,x,s,n,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,k,s,g
friendly,x,y,e,t,n,f,c,b,u,t,s,s,g,w,p,w,o,p,n,y,d
friendly,f,s,g,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,k,a,g
dangerous,f,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,v,u
friendly,f,f,w,f,n,f,w,b,p,t,s,f,w,w,p,w,o,e,n,s,g
friendly,x,f,g,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,n,a,g
friendly,f,f,n,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,n,s,g
friendly,f,s,n,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,k,a,g
friendly,x,f,w,f,n,f,w,b,k,t,f,f,w,w,p,w,o,e,n,a,g
dangerous,f,y,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,f,w,f,n,f,w,b,k,t,f,s,w,w,p,w,o,e,n,s,g
friendly,f,s,n,f,n,f,w,b,k,t,f,f,w,w,p,w,o,e,n,a,g
friendly,x,s,n,f,n,f,w,b,n,t,f,s,w,w,p,w,o,e,k,s,g
friendly,x,f,g,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,k,s,g
friendly,x,s,n,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,k,a,g
friendly,f,y,y,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,k,y,g
dangerous,x,y,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,v,u
friendly,x,f,w,f,n,f,w,b,p,t,s,f,w,w,p,w,o,e,k,a,g
friendly,f,s,w,f,n,f,w,b,k,t,f,f,w,w,p,w,o,e,k,s,g
friendly,x,s,n,f,n,f,w,b,h,t,s,f,w,w,p,w,o,e,n,s,g
dangerous,f,y,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,s,g
friendly,f,f,g,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,s,g
dangerous,f,s,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,s,u
friendly,f,s,n,f,n,f,w,b,n,t,f,s,w,w,p,w,o,e,k,s,g
friendly,x,s,g,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,s,g
friendly,x,f,g,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,k,a,g
friendly,f,f,n,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,k,s,g
friendly,f,s,g,f,n,f,w,b,h,t,s,f,w,w,p,w,o,e,n,s,g
friendly,x,s,w,f,n,f,w,b,p,t,s,f,w,w,p,w,o,e,n,s,g
friendly,x,f,n,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,k,a,g
friendly,x,f,g,f,n,f,w,b,p,t,s,f,w,w,p,w,o,e,k,s,g
friendly,f,f,n,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,n,a,g
friendly,b,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m
friendly,f,f,g,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,n,s,g
friendly,x,f,g,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,k,a,g
friendly,f,f,w,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,n,a,g
friendly,x,f,n,t,n,f,c,b,p,t,s,s,p,p,p,w,o,p,n,y,d
dangerous,f,s,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,s,u
friendly,x,f,n,t,n,f,c,b,p,t,s,s,p,g,p,w,o,p,n,y,d
friendly,x,f,n,f,n,f,w,b,h,t,f,f,w,w,p,w,o,e,n,a,g
friendly,x,f,n,t,n,f,c,b,p,t,s,s,w,p,p,w,o,p,k,y,d
friendly,x,f,w,f,n,f,w,b,n,t,f,s,w,w,p,w,o,e,n,a,g
friendly,f,s,g,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,k,s,g
friendly,f,s,n,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,k,a,g
friendly,x,y,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,m
friendly,x,f,w,t,a,f,w,n,p,t,s,s,w,w,p,w,o,p,u,v,d
friendly,f,f,g,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,n,a,g
friendly,f,f,n,f,n,f,w,b,h,t,s,f,w,w,p,w,o,e,n,a,g
friendly,f,f,n,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,n,s,g
friendly,b,y,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,f,n,f,n,f,w,b,h,t,f,f,w,w,p,w,o,e,k,s,g
friendly,x,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g
friendly,f,s,w,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,k,s,g
friendly,x,s,w,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,n,a,g
friendly,x,f,n,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,n,s,g
friendly,x,s,n,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,n,a,g
friendly,x,s,n,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,n,s,g
friendly,x,y,n,t,n,f,c,b,w,t,s,s,w,w,p,w,o,p,n,y,d
friendly,f,s,g,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,k,s,g
friendly,x,y,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,m
friendly,x,s,w,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,k,a,g
dangerous,f,y,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,s,u
friendly,f,s,w,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,n,s,g
dangerous,f,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,s,u
friendly,f,s,g,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,k,s,g
friendly,f,f,g,f,n,f,w,b,k,t,f,f,w,w,p,w,o,e,n,s,g
dangerous,x,s,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,s,g
friendly,x,s,g,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,k,a,g
dangerous,x,s,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,s,u
friendly,x,s,g,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,n,s,g
friendly,f,s,w,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,k,s,g
dangerous,f,y,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,v,g
friendly,x,f,w,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,k,a,g
friendly,x,s,n,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,k,a,g
friendly,x,f,w,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,n,s,g
friendly,x,f,w,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,a,g
friendly,x,y,e,t,n,f,c,b,u,t,s,s,g,g,p,w,o,p,k,y,d
dangerous,f,s,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,s,u
friendly,f,f,g,f,n,f,w,b,k,t,f,s,w,w,p,w,o,e,k,s,g
friendly,x,y,y,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,g
friendly,x,f,n,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,n,a,g
friendly,f,f,n,f,n,f,w,b,k,t,f,f,w,w,p,w,o,e,k,a,g
friendly,b,s,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,m
friendly,f,s,g,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,k,a,g
friendly,f,f,w,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,k,a,g
friendly,f,f,n,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,n,a,g
dangerous,f,s,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,s,u
friendly,x,s,n,f,n,f,w,b,h,t,s,f,w,w,p,w,o,e,n,a,g
friendly,b,y,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,g
friendly,f,s,g,f,n,f,w,b,p,t,s,f,w,w,p,w,o,e,n,a,g
friendly,f,s,n,f,n,f,w,b,h,t,s,f,w,w,p,w,o,e,k,s,g
friendly,x,f,g,f,n,f,w,b,h,t,f,s,w,w,p,w,o,e,n,a,g
friendly,f,s,g,f,n,f,w,b,p,t,s,f,w,w,p,w,o,e,k,s,g
friendly,x,f,n,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,a,g
friendly,x,f,n,t,n,f,c,b,p,t,s,s,p,g,p,w,o,p,n,v,d
friendly,b,y,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m
friendly,x,f,g,t,n,f,c,b,n,t,s,s,g,w,p,w,o,p,n,v,d
dangerous,f,y,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,s,w,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,n,a,g
dangerous,f,s,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,u
friendly,f,s,n,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,n,a,g
friendly,f,f,n,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,k,a,g
friendly,x,f,w,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,k,a,g
friendly,x,f,n,f,n,f,w,b,n,t,f,s,w,w,p,w,o,e,n,a,g
friendly,f,s,n,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,n,s,g
friendly,x,s,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,g
friendly,f,s,w,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,k,a,g
friendly,x,s,w,f,n,f,w,b,k,t,f,s,w,w,p,w,o,e,k,s,g
dangerous,x,y,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,g
friendly,f,f,g,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,k,a,g
dangerous,f,y,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,s,g
friendly,f,f,w,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,k,a,g
friendly,x,f,n,t,n,f,c,b,p,t,s,s,p,w,p,w,o,p,k,v,d
friendly,x,f,g,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,k,s,g
dangerous,f,s,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,v,u
friendly,f,s,g,f,n,f,w,b,h,t,s,f,w,w,p,w,o,e,k,s,g
dangerous,x,s,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,v,u
friendly,x,f,n,t,n,f,c,b,p,t,s,s,g,g,p,w,o,p,n,v,d
friendly,x,f,n,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,n,s,g
friendly,x,y,y,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,n,s,p
friendly,f,f,w,f,n,f,w,b,h,t,f,f,w,w,p,w,o,e,k,s,g
friendly,f,s,w,f,n,f,w,b,p,t,s,f,w,w,p,w,o,e,n,a,g
friendly,x,f,g,f,n,f,w,b,n,t,f,s,w,w,p,w,o,e,n,s,g
friendly,f,f,g,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,k,s,g
friendly,f,f,w,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,n,a,g
friendly,x,f,g,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,k,s,g
friendly,f,f,g,f,n,f,w,b,k,t,f,f,w,w,p,w,o,e,n,a,g
friendly,x,f,g,t,n,f,c,b,w,t,s,s,w,w,p,w,o,p,n,v,d
friendly,x,s,g,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,a,g
friendly,f,s,g,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,s,g
friendly,x,y,n,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,n,s,g
friendly,x,y,g,t,n,f,c,b,n,t,s,s,p,g,p,w,o,p,k,y,d
friendly,f,s,g,f,n,f,w,b,k,t,f,f,w,w,p,w,o,e,k,a,g
friendly,f,f,w,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,n,s,g
friendly,f,s,n,f,n,f,w,b,h,t,f,f,w,w,p,w,o,e,n,a,g
friendly,f,f,w,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,k,s,g
friendly,f,f,n,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,k,a,g
friendly,f,s,g,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,k,a,g
friendly,x,s,n,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,n,s,g
friendly,x,f,n,t,n,f,c,b,p,t,s,s,w,w,p,w,o,p,n,y,d
friendly,x,s,n,f,n,f,w,b,k,t,f,f,w,w,p,w,o,e,n,s,g
friendly,x,f,n,f,n,f,w,b,k,t,f,s,w,w,p,w,o,e,k,a,g
friendly,f,s,w,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,n,a,g
friendly,x,f,n,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,k,y,u
dangerous,f,s,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,s,u
dangerous,f,s,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,g
friendly,x,f,n,t,n,f,c,b,u,t,s,s,w,g,p,w,o,p,k,v,d
friendly,x,s,w,f,n,f,w,b,n,t,f,s,w,w,p,w,o,e,n,a,g
friendly,f,f,g,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,n,a,g
friendly,x,s,n,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,n,s,g
friendly,x,f,n,f,n,f,w,b,h,t,f,f,w,w,p,w,o,e,n,s,g
friendly,x,s,g,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,k,s,g
friendly,f,f,g,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,k,a,g
friendly,f,s,n,f,n,f,w,b,p,t,s,f,w,w,p,w,o,e,n,s,g
friendly,f,s,g,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,k,a,g
friendly,x,f,e,t,n,f,c,b,n,t,s,s,p,p,p,w,o,p,k,v,d
dangerous,f,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u
friendly,x,f,n,f,n,f,w,b,h,t,f,s,w,w,p,w,o,e,n,s,g
friendly,x,f,n,t,n,f,c,b,n,t,s,s,w,g,p,w,o,p,n,v,d
dangerous,f,s,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,s,u
dangerous,f,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,g
dangerous,f,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,s,u
friendly,f,f,w,f,n,f,w,b,h,t,s,f,w,w,p,w,o,e,n,a,g
friendly,f,s,n,f,n,f,w,b,h,t,f,s,w,w,p,w,o,e,n,s,g
friendly,f,f,n,f,n,f,w,b,h,t,f,f,w,w,p,w,o,e,k,a,g
friendly,x,s,n,f,n,f,w,b,h,t,s,f,w,w,p,w,o,e,k,a,g
friendly,f,s,n,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,k,a,g
dangerous,f,s,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,g
dangerous,f,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,v,g
friendly,f,s,g,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,n,a,g
friendly,x,s,n,f,n,f,w,b,k,t,f,s,w,w,p,w,o,e,k,a,g
friendly,x,s,n,f,n,f,w,b,h,t,f,f,w,w,p,w,o,e,n,s,g
friendly,x,f,n,t,n,f,c,b,w,t,s,s,w,g,p,w,o,p,k,v,d
friendly,x,f,n,t,n,f,c,b,n,t,s,s,g,w,p,w,o,p,n,v,d
friendly,f,f,w,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,a,g
friendly,f,f,w,f,n,f,w,b,n,t,f,s,w,w,p,w,o,e,n,s,g
friendly,x,f,w,f,n,f,w,b,k,t,f,f,w,w,p,w,o,e,k,a,g
friendly,x,s,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m
friendly,f,s,g,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,n,a,g
friendly,x,s,w,f,n,f,w,b,h,t,s,f,w,w,p,w,o,e,n,s,g
friendly,x,f,n,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,n,s,g
friendly,x,f,n,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,n,a,g
friendly,x,s,w,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,n,s,g
friendly,x,s,n,f,n,f,w,b,h,t,f,f,w,w,p,w,o,e,k,s,g
friendly,x,s,g,f,n,f,w,b,h,t,f,s,w,w,p,w,o,e,n,s,g
friendly,x,s,g,f,n,f,w,b,p,t,s,f,w,w,p,w,o,e,k,s,g
friendly,f,s,w,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,n,s,g
friendly,x,s,n,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,k,a,g
friendly,f,f,g,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,n,s,g
friendly,f,f,w,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,k,s,g
friendly,x,f,w,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,n,a,g
friendly,f,f,g,f,n,f,w,b,h,t,f,s,w,w,p,w,o,e,k,s,g
friendly,x,f,g,f,n,f,w,b,p,t,s,f,w,w,p,w,o,e,k,a,g
friendly,x,y,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,g
friendly,x,s,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,g
friendly,x,s,w,f,n,f,w,b,p,t,s,f,w,w,p,w,o,e,k,a,g
dangerous,x,y,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,f,w,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,n,s,g
dangerous,x,s,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,s,u
friendly,x,y,g,t,n,f,c,b,n,t,s,s,p,g,p,w,o,p,n,v,d
dangerous,f,s,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,v,u
friendly,x,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,g
friendly,x,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m
friendly,f,y,n,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,n,y,p
friendly,x,s,w,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,n,s,g
friendly,f,s,n,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,s,g
friendly,x,s,g,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,k,a,g
friendly,x,s,w,f,n,f,w,b,n,t,f,s,w,w,p,w,o,e,k,a,g
friendly,f,s,n,f,n,f,w,b,h,t,f,f,w,w,p,w,o,e,n,s,g
friendly,f,s,n,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,k,a,g
friendly,x,s,g,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,k,s,g
friendly,b,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g
friendly,x,s,g,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,k,s,g
friendly,x,s,y,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,m
dangerous,f,y,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,v,g
friendly,f,s,w,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,k,s,g
friendly,f,s,n,f,n,f,w,b,h,t,f,f,w,w,p,w,o,e,k,s,g
friendly,f,s,g,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,n,s,g
friendly,f,f,g,f,n,f,w,b,h,t,f,s,w,w,p,w,o,e,n,s,g
friendly,x,y,n,t,n,f,c,b,p,t,s,s,g,w,p,w,o,p,n,y,d
friendly,x,f,n,t,n,f,c,b,n,t,s,s,g,g,p,w,o,p,k,y,d
friendly,x,y,y,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,n,y,p
friendly,x,f,g,t,n,f,c,b,w,t,s,s,p,p,p,w,o,p,k,y,d
friendly,f,f,g,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,n,a,g
friendly,f,s,n,f,n,f,w,b,h,t,f,s,w,w,p,w,o,e,k,s,g
friendly,f,s,w,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,n,a,g
friendly,x,f,g,f,n,f,w,b,k,t,f,s,w,w,p,w,o,e,n,a,g
friendly,f,s,w,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,k,s,g
friendly,f,f,g,f,n,f,w,b,n,t,f,s,w,w,p,w,o,e,n,a,g
friendly,x,f,g,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,n,a,g
friendly,x,s,n,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,n,a,g
friendly,x,f,n,t,n,f,c,b,w,t,s,s,w,g,p,w,o,p,k,y,d
friendly,f,s,w,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,n,s,g
friendly,f,f,n,f,n,f,w,b,n,t,f,s,w,w,p,w,o,e,k,s,g
dangerous,f,y,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,f,n,t,n,f,c,b,n,t,s,s,p,w,p,w,o,p,k,y,d
friendly,x,f,n,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,k,s,g
friendly,f,f,w,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,k,s,g
dangerous,f,y,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,u
friendly,f,f,g,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,k,s,g
friendly,x,f,g,t,n,f,c,b,n,t,s,s,w,w,p,w,o,p,k,v,d
friendly,x,f,w,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,k,a,g
friendly,x,f,g,f,n,f,w,b,h,t,f,f,w,w,p,w,o,e,k,s,g
friendly,x,f,n,t,n,f,c,b,w,t,s,s,g,p,p,w,o,p,n,v,d
friendly,x,s,g,f,n,f,w,b,h,t,s,f,w,w,p,w,o,e,n,a,g
friendly,f,f,w,f,n,f,w,b,p,t,s,f,w,w,p,w,o,e,n,a,g
friendly,x,f,g,t,n,f,c,b,u,t,s,s,p,p,p,w,o,p,k,y,d
friendly,x,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,g
friendly,x,y,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,m
friendly,f,s,g,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,n,s,g
friendly,f,s,w,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,k,a,g
friendly,f,s,n,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,k,s,g
friendly,f,s,w,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,a,g
friendly,x,f,n,f,n,f,w,b,h,t,s,f,w,w,p,w,o,e,n,a,g
friendly,x,s,n,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,n,s,g
friendly,b,y,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m
dangerous,f,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,g
friendly,x,s,n,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,k,a,g
friendly,f,s,n,f,n,f,w,b,k,t,f,s,w,w,p,w,o,e,k,s,g
friendly,x,y,n,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,k,s,g
friendly,x,s,g,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,n,a,g
friendly,f,s,w,f,n,f,w,b,k,t,f,s,w,w,p,w,o,e,n,a,g
dangerous,x,s,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,v,u
friendly,f,s,g,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,k,a,g
friendly,x,f,w,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,n,s,g
dangerous,f,s,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,v,g
friendly,x,f,n,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,n,a,g
friendly,x,s,n,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,a,g
friendly,x,f,n,t,n,f,c,b,u,t,s,s,g,p,p,w,o,p,k,v,d
friendly,f,s,w,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,s,g
dangerous,f,s,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,u
friendly,x,f,w,f,n,f,w,b,h,t,s,f,w,w,p,w,o,e,k,a,g
friendly,f,f,n,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,n,s,g
friendly,f,s,g,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,n,s,g
friendly,x,f,w,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,k,a,g
friendly,f,y,n,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,n,y,g
dangerous,f,s,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,s,g
friendly,x,f,w,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,n,a,g
friendly,f,f,n,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,k,y,u
dangerous,f,y,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,s,u
friendly,f,s,w,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,n,s,g
friendly,x,f,g,f,n,f,w,b,k,t,f,f,w,w,p,w,o,e,n,s,g
friendly,f,y,y,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,n,y,p
friendly,x,f,w,f,n,f,w,b,h,t,f,f,w,w,p,w,o,e,n,s,g
friendly,x,f,w,f,n,f,w,b,h,t,f,f,w,w,p,w,o,e,k,a,g
dangerous,f,y,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,s,g
friendly,f,f,n,f,n,f,w,b,h,t,f,s,w,w,p,w,o,e,k,s,g
